0	0
1	-0.033333333
2	-0.066666667
3	-0.1
4	-0.133333333
5	-0.166666667
6	-0.2
7	-0.233333333
8	-0.266666667
9	-0.3
10	-0.333333333
11	-0.366666667
12	-0.4
13	-0.433333333
14	-0.466666667
15	-0.5
16	-0.6
17	-0.7
18	-0.8
19	-0.9
20	-1
21	-1.1
22	-1.2
23	-1.3
24	-1.4
25	-1.5
26	-1.6
27	-1.7
28	-1.8
29	-1.9
30	-2
31	-2.16
32	-2.32
33	-2.48
34	-2.64
35	-2.8
36	-2.96
37	-3.12
38	-3.28
39	-3.44
40	-3.6
41	-3.76
42	-3.92
43	-4.08
44	-4.24
45	-4.4
46	-4.573333333
47	-4.746666667
48	-4.92
49	-5.093333333
50	-5.266666667
51	-5.44
52	-5.613333333
53	-5.786666667
54	-5.96
55	-6.133333333
56	-6.306666667
57	-6.48
58	-6.653333333
59	-6.826666667
60	-7
61	-7.233333333
62	-7.466666667
63	-7.7
64	-7.933333333
65	-8.166666667
66	-8.4
67	-8.633333333
68	-8.866666667
69	-9.1
70	-9.333333333
71	-9.566666667
72	-9.8
73	-10.03333333
74	-10.26666667
75	-10.5
76	-10.66666667
77	-10.83333333
78	-11
79	-11.16666667
80	-11.33333333
81	-11.5
82	-11.66666667
83	-11.83333333
84	-12
85	-12.16666667
86	-12.33333333
87	-12.5
88	-12.66666667
89	-12.83333333
90	-13
91	-13.2
92	-13.4
93	-13.6
94	-13.8
95	-14
96	-14.2
97	-14.4
98	-14.6
99	-14.8
100	-15
101	-15.2
102	-15.4
103	-15.6
104	-15.8
105	-16
106	-16.06666667
107	-16.13333333
108	-16.2
109	-16.26666667
110	-16.33333333
111	-16.4
112	-16.46666667
113	-16.53333333
114	-16.6
115	-16.66666667
116	-16.73333333
117	-16.8
118	-16.86666667
119	-16.93333333
120	-17
121	-17.53333333
122	-18.06666667
123	-18.6
124	-19.13333333
125	-19.66666667
126	-20.2
127	-20.73333333
128	-21.26666667
129	-21.8
130	-22.33333333
131	-22.86666667
132	-23.4
133	-23.93333333
134	-24.46666667
135	-25
136	-24.86666667
137	-24.73333333
138	-24.6
139	-24.46666667
140	-24.33333333
141	-24.2
142	-24.06666667
143	-23.93333333
144	-23.8
145	-23.66666667
146	-23.53333333
147	-23.4
148	-23.26666667
149	-23.13333333
150	-23
151	-22.6
